epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8656,3.8047,136.525,1.03008,0,0,0,0,nan,nan,nan,0.00052,0.00052,0.00052
2,50.8816,4.25006,18.9434,1.1482,0,0,0,0,nan,nan,nan,0.00104951,0.00104951,0.00104951
3,83.7785,3.91094,3.92164,1.05126,0,0,0,0,nan,nan,nan,0.00156832,0.00156832,0.00156832
4,109.915,3.45444,2.89711,0.99225,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,144.015,3.71851,2.79973,0.99694,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,195.749,3.50472,2.70476,0.94916,0,0,0,0,0.79109,nan,0.28163,0.001901,0.001901,0.001901
7,237.766,3.37704,2.27652,0.94964,0.38309,0.0198,0.01038,0.00105,2.33572,16.946,0.6142,0.0018812,0.0018812,0.0018812
8,280.723,3.36394,2.57897,0.95707,0,0,0,0,0,0,0,0.0018614,0.0018614,0.0018614
9,310.08,3.17437,2.23496,0.93194,0.54967,0.33663,0.33295,0.08083,2.61293,2.11849,0.78224,0.0018416,0.0018416,0.0018416
10,354.56,3.17584,2.02336,0.94834,0.37951,0.19802,0.18419,0.0439,2.89177,1.81512,0.78089,0.0018218,0.0018218,0.0018218
11,385.507,3.18342,2.08573,0.90748,0.69814,0.34653,0.37951,0.10522,2.72433,2.09446,0.75729,0.001802,0.001802,0.001802
12,433.453,3.18296,2.08156,0.93332,0.58736,0.18329,0.22875,0.06161,2.36778,1.76027,0.69442,0.0017822,0.0017822,0.0017822
13,469.348,3.0042,1.8166,0.90507,0.66104,0.19317,0.29459,0.08337,2.73131,2.71323,0.76765,0.0017624,0.0017624,0.0017624
14,499.727,2.92565,1.89389,0.89272,0.14035,0.07921,0.10342,0.03967,2.53946,1.84143,0.80362,0.0017426,0.0017426,0.0017426
15,534.294,2.91937,1.92007,0.89941,0.56584,0.26733,0.27902,0.10144,2.38393,2.09569,0.73273,0.0017228,0.0017228,0.0017228
16,563.542,3.1075,2.0069,0.87936,0.48247,0.22772,0.16867,0.03822,2.8351,1.87987,0.77423,0.001703,0.001703,0.001703
17,593.962,2.97548,1.88861,0.89733,0.44699,0.24012,0.21985,0.05022,2.69992,2.12386,0.78469,0.0016832,0.0016832,0.0016832
18,624.925,3.01899,1.83952,0.9038,0.58381,0.31948,0.31311,0.11001,2.27888,1.92949,0.75867,0.0016634,0.0016634,0.0016634
19,660.286,2.89973,1.8729,0.89194,0.44886,0.22772,0.22995,0.06982,2.48195,1.97916,0.77925,0.0016436,0.0016436,0.0016436
20,685.286,3.01601,1.8341,0.89285,0.65384,0.36634,0.4084,0.11521,2.54942,1.77745,0.7639,0.0016238,0.0016238,0.0016238
21,726.955,3.03245,1.92443,0.90831,0.48552,0.32673,0.28751,0.07583,2.82969,1.5838,0.76843,0.001604,0.001604,0.001604
22,762.195,3.03831,1.79973,0.89361,0.6456,0.27723,0.31065,0.06879,2.91431,2.13323,0.78575,0.0015842,0.0015842,0.0015842
23,792.747,2.7875,1.82149,0.8739,0.74417,0.37624,0.412,0.13123,2.35537,1.96116,0.75459,0.0015644,0.0015644,0.0015644
24,831.765,2.86349,1.84091,0.89393,0.56083,0.22772,0.23052,0.06903,2.88714,2.23718,0.79807,0.0015446,0.0015446,0.0015446
25,856.734,2.97282,1.84627,0.90287,0.60126,0.32673,0.35277,0.10504,2.53021,2.23105,0.784,0.0015248,0.0015248,0.0015248
